Internal Reference,Name,aw_mfg_part_no,Product Category,Description,Manufacturer,Company,,,
0018-0000693-00-0002,3385-6600,3385-6600,Connector=CPC/D-Sub/IDC/BNC,IDC SKT 14W 2.54MM,3m,All World Connect,,,
0018-0000694-00-0002,3385-6614,3385-6614,Connector=CPC/D-Sub/IDC/BNC,IDC SKT 14W 2.54MM W/SR,3m,All World Connect,,,
0018-0000695-00-0002,3385-7014,3385-7014,Connector=CPC/D-Sub/IDC/BNC,14P IDC SOCKET W/SR,3m,All World Connect,,,
0018-0000696-00-0002,3385-7600,3385-7600,Connector=CPC/D-Sub/IDC/BNC,IDC SKT 14W 2.54MM,3m,All World Connect,,,
0018-0000697-00-0002,3385-7614,3385-7614,Connector=CPC/D-Sub/IDC/BNC,"IDC SKT 14W 2.54MM BUMP,W/SR",3m,All World Connect,,,
0034-0000059-00-0002,3391/06,3391/06,Flat Cable,"FLAT CABLE,22AWG,P0.156""",3m,All World Connect,,,
0018-0000698-00-0002,3399-6026,3399-6026,Connector=CPC/D-Sub/IDC/BNC,"IDC SKT 26W 2.54MM W/SR,GRY",3m,All World Connect,,,
0018-0000699-01-0002,3399-6600,3399-6600,Connector=CPC/D-Sub/IDC/BNC,IDC SKT 26W 2.54MM G30,3m,All World Connect,,,
0018-0000699-00-0002,3399-6626,3399-6626,Connector=CPC/D-Sub/IDC/BNC,IDC SKT 26W 2.54MM G30 W/SR,3m,All World Connect,,,
0018-0000700-00-0002,3399-7626,3399-7626,Connector=CPC/D-Sub/IDC/BNC,"IDC SKT 26W 2.54MM W/SR,CLOSE",3m,All World Connect,,,
0018-0000701-00-0002,3414-6000,3414-6000,Connector=CPC/D-Sub/IDC/BNC,IDC SKT 34W 2.54MM,3m,All World Connect,,,
0018-0000702-00-0002,3414-6634,3414-6634,Connector=CPC/D-Sub/IDC/BNC,IDC SKT 34W 2.54MM W/SR,3m,All World Connect,,,
0018-0000703-00-0002,3414-7634,3414-7634,Connector=CPC/D-Sub/IDC/BNC,IDC SKT 34W 2.54MM W/SR,3m,All World Connect,,,
0018-0000704-00-0002,3417-6000,3417-6000,Connector=CPC/D-Sub/IDC/BNC,IDC SKT 40W 2.54MM,3m,All World Connect,,,
0018-0000705-00-0002,3417-6640,3417-6640,Connector=CPC/D-Sub/IDC/BNC,IDC SKT 40W 2.54MM W/SR,3m,All World Connect,,,
0018-0000706-00-0002,3417-7040,3417-7040,Connector=CPC/D-Sub/IDC/BNC,CONNECTOR,3m,All World Connect,,,
0018-0000707-00-0002,3417-7640,3417-7640,Connector=CPC/D-Sub/IDC/BNC,IDC SKT 40W 2.54MM W/SR,3m,All World Connect,,,
0018-0000709-00-0002,3421-6020,3421-6020,Connector=CPC/D-Sub/IDC/BNC,IDC SKT 20W 2.54MM G30 W/SR,3m,All World Connect,,,
0018-0000710-00-0002,3421-6600,3421-6600,Connector=CPC/D-Sub/IDC/BNC,IDC SKT 20W 2.54MM,3m,All World Connect,,,
0018-0000711-00-0002,3421-6620,3421-6620,Connector=CPC/D-Sub/IDC/BNC,IDC SKT 20W 2.54MM W/SR,3m,All World Connect,,,
0018-0000712-00-0002,3421-7600,3421-7600,Connector=CPC/D-Sub/IDC/BNC,IDC SKT 20W 2.54MM,3m,All World Connect,,,
0018-0000713-00-0002,3421-7620,3421-7620,Connector=CPC/D-Sub/IDC/BNC,IDC SKT 20W 2.54MM W/SR,3m,All World Connect,,,
0018-0000714-00-0002,3422-0000,3422-0000,Connector=CPC/D-Sub/IDC/BNC,"CONN 20P 4ROW P.1""",3m,All World Connect,,,
0018-0000715-00-0002,3425-6050,3425-6050,Connector=CPC/D-Sub/IDC/BNC,IDC SKT 50W 2.54MM W/SR,3m,All World Connect,,,
0018-0000716-00-0002,3425-6600,3425-6600,Connector=CPC/D-Sub/IDC/BNC,IDC SKT 50W 1.27MM,3m,All World Connect,,,
0018-0002431-00-0002,3425-7600,3425-7600,Connector=CPC/D-Sub/IDC/BNC,CONN RCPT 50P IDC 26-30AWG GOL,3m,All World Connect,,,
0065-0000014-00-0002,3435-0,3435-0,Polarize Key / Eyelet / Rivet,KEYING PLUG ACCESSORY,3m,All World Connect,,,
0034-0000240-00-0002,3447/40,3447/40,Flat Cable,"FLAT CBL,40COND 30AWG SOL",3m,All World Connect,,,
0034-0000060-00-0002,3447/80,3447/80,Flat Cable,"FLAT CBL,80COND 30AWG SOL",3m,All World Connect,,,
0086-0000004-00-0002,3448-3010,3448-3010,Strain Relief,"STRAIN RELIEF 10 WAY,GREY",3m,All World Connect,,,
0086-0000005-00-0002,3448-3014,3448-3014,Strain Relief,"STRAIN RELIEF 14 WAY,GREY",3m,All World Connect,,,
0086-0000006-00-0002,3448-3016,3448-3016,Strain Relief,"STRAIN RELIEF 16 WAY,GREY",3m,All World Connect,,,
0086-0000007-00-0002,3448-3020,3448-3020,Strain Relief,"STRAIN RELIEF 20 WAY,GREY",3m,All World Connect,,,
0086-0000008-00-0002,3448-3024,3448-3024,Strain Relief,STARIN RELIAF 24 PIN,3m,All World Connect,,,
0086-0000009-00-0002,3448-3026,3448-3026,Strain Relief,STRAIN RELIEF,3m,All World Connect,,,
0086-0000010-00-0002,3448-3034,3448-3034,Strain Relief,34 WAY IDC CONN STRAIN RE,3m,All World Connect,,,
0086-0000011-00-0002,3448-3040,3448-3040,Strain Relief,STRAIN RELIEF 40 POS,3m,All World Connect,,,
0086-0000012-00-0002,3448-3050,3448-3050,Strain Relief,STRAIN RELIEF,3m,All World Connect,,,
0086-0000013-00-0002,3448-4620,3448-4620,Strain Relief,"STRAIN RELIEF,20 POS",3m,All World Connect,,,
0086-0000014-00-0002,3448-7934,3448-7934,Strain Relief,STRAIN RELIEF 34 POS,3m,All World Connect,,,
0018-0000718-00-0002,3448-89110,3448-89110,Connector=CPC/D-Sub/IDC/BNC,WIREMOUNT SOCKET STRAIN R,3m,All World Connect,,,
0086-0000015-00-0002,3448-89114,3448-89114,Strain Relief,STRAIN RELIEF IDC 14 WAY,3m,All World Connect,,,
0086-0000016-00-0002,3448-89116,3448-89116,Strain Relief,"STRAIN RELIEF 16WAY,GREY",3m,All World Connect,,,
0086-0000017-00-0002,3448-89120,3448-89120,Strain Relief,"STRAIN RELIEF 20WAY,GREY",3m,All World Connect,,,
0018-0000719-00-0002,3448-89126,3448-89126,Connector=CPC/D-Sub/IDC/BNC,"STRAIN RELIEF,IDC SKT 26W",3m,All World Connect,,,
0018-0000720-00-0002,3448-89134,3448-89134,Connector=CPC/D-Sub/IDC/BNC,IDC S/R 34W GREY,3m,All World Connect,,,
0018-0000721-00-0002,3448-89140,3448-89140,Connector=CPC/D-Sub/IDC/BNC,IDC S/R 40W GREY,3m,All World Connect,,,
0018-0000722-00-0002,3448-89150,3448-89150,Connector=CPC/D-Sub/IDC/BNC,IDC S/R 50W GREY,3m,All World Connect,,,
0018-0000723-00-0002,3448-8D09A,3448-8D09A,Connector=CPC/D-Sub/IDC/BNC,D-SUB S/R,3m,All World Connect,,,
0018-0000724-00-0002,3448-8D15A,3448-8D15A,Connector=CPC/D-Sub/IDC/BNC,D-SUB S/R 15WAY,3m,All World Connect,,,
0018-0000725-00-0002,3448-8D25A,3448-8D25A,Connector=CPC/D-Sub/IDC/BNC,D-SUB S/R 25P,3m,All World Connect,,,
0018-0000726-00-0002,3448-8D37A,3448-8D37A,Connector=CPC/D-Sub/IDC/BNC,D-SUB S/R 37W,3m,All World Connect,,,
0018-0002315-00-0002,3452-6000,3452-6000,Connector=CPC/D-Sub/IDC/BNC,IDC SKT 16W W/O SR,3m,All World Connect,,,
0018-0000727-00-0002,3452-6016,3452-6016,Connector=CPC/D-Sub/IDC/BNC,IDC SKT 16W C/W SR,3m,All World Connect,,,
0018-0000728-00-0002,3452-6600,3452-6600,Connector=CPC/D-Sub/IDC/BNC,CONNECTOR,3m,All World Connect,,,
0018-0000729-00-0002,3452-6616,3452-6616,Connector=CPC/D-Sub/IDC/BNC,IDC SKT 16W,3m,All World Connect,,,
0018-0000730-00-0002,3452-7600,3452-7600,Connector=CPC/D-Sub/IDC/BNC,IDC SKT 16W,3m,All World Connect,,,
0018-0000731-00-0002,3452-7616,3452-7616,Connector=CPC/D-Sub/IDC/BNC,IDC SKT 16W W/SR,3m,All World Connect,,,
0018-0000732-00-0002,3473-6010,3473-6010,Connector=CPC/D-Sub/IDC/BNC,IDC SKT 10P GRY W/ SR,3m,All World Connect,,,
0018-0000733-00-0002,3473-6600,3473-6600,Connector=CPC/D-Sub/IDC/BNC,"CONN.10POS,SOCKET,.1""P",3m,All World Connect,,,
0018-0000734-00-0002,3473-6610,3473-6610,Connector=CPC/D-Sub/IDC/BNC,"CONN.10POS,SOCKET,.1""P,SR",3m,All World Connect,,,
0018-0000735-00-0002,3473-7600,3473-7600,Connector=CPC/D-Sub/IDC/BNC,"CONN.10POS,SOCKET,.1""P,SR",3m,All World Connect,,,
0018-0000736-00-0002,3485-2300F,3485-2300F,Connector=CPC/D-Sub/IDC/BNC,D-SUB JUNCTION SHELL 25W,3m,All World Connect,,,
0086-0000018-00-0002,3505-16,3505-16,Strain Relief,LATCH SHORT,3m,All World Connect,,,
0086-0000145-00-0002,3505-17,3505-17,Strain Relief,LOCK EJECTOR HOOKS - LONG,3m,All World Connect,,,
0086-0000019-00-0002,3505-62,3505-62,Strain Relief,D-SUB 50W LATCH SHELL,3m,All World Connect,,,
0034-0000061-00-0002,3517/09,3517/09,Flat Cable,UL20879 9C #28 F/SHLD FL,3m,All World Connect,,,
0057-0000253-00-0002,3517/25,3517/25,Multicore Shield Cable,UL20879 25C #28 F/SHLD FL,3m,All World Connect,,,
0057-0000254-00-0002,3517/50,3517/50,Multicore Shield Cable,UL20879 50C #28 F/SHLD FL,3m,All World Connect,,,
0018-0000743-00-0002,3572-1000,3572-1000,Connector=CPC/D-Sub/IDC/BNC,"CONN, 14 POS,MALE CENTRON",3m,All World Connect,,,
0018-0000744-00-0002,3572-1001,3572-1001,Connector=CPC/D-Sub/IDC/BNC,"CONN, DELTA 14POS PLUG",3m,All World Connect,,,
0057-0000256-00-0002,3600B/100,3600B/100,Multicore Shield Cable,CABLE RND SHLD28AWG 50TW-,3m,All World Connect,,,
0057-0000758-00-0002,3600B/20,3600B/20,Multicore Shield Cable,CABLE RND SHLD28AWG 10TW-PR,3m,All World Connect,,,
